regime,subject,full_decode_acc,shuffle_decode_acc,full_entropy,shuffle_entropy,full_silhouette,shuffle_silhouette
reactive_noise,2,0.5126667545285478,0.3142331366203439,0.6666255812817198,0.7830552313897878,-0.005212025578857387,-0.037789309958928353
reactive_noise,3,0.5815391191156185,0.3375415282392027,0.7047544430497141,0.8303441100671599,0.005131975794342474,-0.01135124272327299
reactive_noise,4,0.5732474323062559,0.3512156862745098,0.4782380452367296,0.6373899440538247,-0.007220861561635145,-0.011142052863409847
reactive_noise,5,0.6074074074074074,0.33827160493827163,0.40894772700526716,0.5718880252481651,-0.02573692310468354,-0.0065086862265326725
reactive_noise,6,0.45750066613375967,0.3213429256594724,0.42753540633654197,0.5572365815680713,-0.013797861577702845,-0.06771543216459962
reactive_noise,7,0.519047619047619,0.325,0.5569292540511739,0.7334758268741374,-0.004179012239421017,-0.03643411674068056
reactive_noise,8,0.5828366095962799,0.33917600225463257,0.565729373336007,0.8845803951147642,0.044135039296158834,-0.0170686188517318
reactive_noise,9,0.5511259289194226,0.3089490581711232,0.6136986040051977,0.8038036280825338,0.00620265155689362,-0.01438051028104798
reactive_noise,10,0.4193020719738277,0.3155216284987277,0.4812938132064748,0.6039326403907029,-0.053582618236708505,-0.02141848149433805
reactive_noise,11,0.6002072551274679,0.31515558111302794,0.595227298265626,0.8429801139173728,0.031729668168003114,-0.007963332062013415
reactive_noise,12,0.5322397200349956,0.3123359580052493,0.43852169031345817,0.6422606654273838,0.022836733330281037,-0.01975061290319909
reactive_noise,13,0.45239130434782604,0.3531159420289855,0.6095170291795666,0.7041216675928881,-0.0024387316408869195,0.0057863103388621166
reactive_noise,14,0.43970588235294117,0.3235294117647059,0.4620438978496567,0.5804272657203385,-0.08952758920276778,-0.00692403140423139
reactive_noise,15,0.6205839584052558,0.3503331973344213,0.3371486862910389,0.6246734259454187,0.039831062104395284,-0.04989723304516071
reactive_noise,16,0.6966490299823632,0.4219576719576719,0.5976786529959308,0.8659987026986276,0.018944463770419435,-0.00946923357962974
